star_name,n_spectra,n_single,n_echelle_orders,ra_deg,dec_deg,mjd_min,mjd_max,median_snr,amateur_frac,time_span_days,split
4 HER,2149,112,2037,238.87746735,42.56619261,48795.99577307871,60988.75486111111,106.96914000598773,0.9022801302931596,12192.8,train
43 ORI,391,50,341,83.84542146,-5.41606131,49396.07348074653,60922.34367476852,168.35167231512347,0.8184143222506394,11526.3,train
48 LIB,445,148,297,239.54736956,-14.27935817,47998.758956174766,60878.88892103009,240.68314428297126,0.9617977528089887,12880.1,train
48 PER,390,62,328,62.165384,47.71251193,48128.53940765625,60976.8740625,231.63880807098832,0.9923076923076923,12848.3,train
5 CNC,903,90,813,120.37620136,16.45531027,54533.090457175924,60998.08556673611,118.65441302793305,0.9723145071982281,6465.0,validation
51 OPH,235,49,186,262.85397556,-23.96264266,57127.151458333334,60927.133680555555,446.3655949257091,1.0,3800.0,validation
53 BOO,700,142,558,232.94575756,40.8993368,52283.13167824074,60870.98423850694,193.64604810920537,0.9942857142857143,8587.9,train
56 ERI,334,43,291,71.0221704,-8.50356737,49298.30039625,60916.40458333334,213.56535532487226,0.9580838323353293,11618.1,train
59 CYG,5271,122,5149,314.956486,47.520951,48817.93402777778,60954.78221064815,146.1680125445991,0.09011572756592677,12136.8,validation
60 CYG,383,97,286,315.29553503,46.15577267,49313.36732432292,60965.19896412037,161.7069204541068,0.9216710182767625,11651.8,train
64 SER,345,84,261,284.31912416,2.53534756,52079.01193287037,60944.07938657407,167.61093177953546,0.8782608695652174,8865.1,validation
66 OPH,10912,768,10144,270.06582603,4.36861564,49051.17863425926,60930.09197337963,179.8267920007595,0.18044354838709678,11878.9,test
69 ORI,1085,119,966,93.01366479,16.13040596,54505.93611342592,61021.944198032405,189.27177398684628,0.9953917050691244,6516.0,train
7 VUL,243,18,225,292.33707131,20.27973926,56384.174629629626,60933.07921875,203.9174650263026,1.0,4548.9,validation
8 LAC A,811,366,445,338.96785177,39.63432861,49296.155263229164,61000.78652199074,237.5198137125994,0.8927250308261405,11704.6,test
A CEN,141,3,138,173.69023254,-54.26409222,55960.552748842594,60739.35148726852,414.9276675445662,1.0,4778.8,train
AB AUR,587,37,550,73.94102172,30.55119074,56150.081417824076,60997.93575953704,76.2401998995575,1.0,4847.9,train
ACHERNAR,790,78,712,24.42852282,-57.23675279,48164.454636030096,61026.564172453705,507.78789952736145,0.950632911392405,12862.1,train
AG AUR,21,2,19,96.8904,47.0311,56754.86660300926,59327.8947974537,48.74976433980642,1.0,2573.0,train
AG CAR,119,3,116,164.04823747,-60.45355712,56802.46273148148,60789.28683564815,157.7916110178218,1.0,3986.8,train
AG+64 187,1,1,0,43.43566349,64.71861568,60565.040601169734,60565.040601169734,351.30191831390823,1.0,0.0,train
AL 207,2,2,0,82.0,-67.52,57349.50506944444,59787.393948666664,23.003807812424085,1.0,2437.9,train
ALCYONE,1243,165,1078,56.87115231,24.10513565,47951.27961713542,61020.85524305556,311.93544819411,0.670957361222848,13069.6,train
ALF ARA,159,14,145,262.96038137,-49.87614501,49439.90574569444,60924.15511979166,440.1242010610931,0.9811320754716981,11484.2,train
ALF COL,132,16,116,84.9122543,-34.07410972,48240.00966219329,60923.28487326389,468.9246579849056,0.9393939393939394,12683.3,test
ALFIRK,8125,210,7915,322.1649879,70.5607161,49560.990277777775,60954.81023148148,143.05586562368043,0.39224615384615386,11393.8,train
ALS 7394,20,1,19,40.6798175,61.266006666667,58317.05968171296,58362.05606481482,10.894408884180386,1.0,45.0,train
AN COL,200,6,194,80.32025211,-34.34505176,55853.57172453704,61025.60412037037,344.6119825523964,1.0,5172.0,validation
AS 37,2,2,0,25.5587058,63.6074678,55873.94558449074,57377.743414351855,118545.09541921644,1.0,1503.8,train
AX MON,405,33,372,97.63724,5.8669994,51572.90772874994,61005.10059707176,87.34916077627578,0.6666666666666666,9432.2,train
AZV 162,2,2,0,13.75354,-72.93814,59410.396707175925,59444.21629361111,78.60264695451359,1.0,33.8,train
AZV 191,2,2,0,14.40529,-72.21922,59435.33751736111,59809.26839919444,67.10896096869654,1.0,373.9,train
AZV 308,1,1,0,15.66325,-72.84903,59496.31162615741,59496.31162615741,60.10095096802402,1.0,0.0,test
AZV 397,1,1,0,16.52692,-72.30075,59831.2565515,59831.2565515,35.54128633597932,1.0,0.0,train
AZV 437,1,1,0,17.18438,-73.24731,59793.325430916666,59793.325430916666,21.680515445709112,1.0,0.0,test
BD+14 3887,98,3,95,290.39156791667,14.882476111111,58292.068136574075,58990.08161458333,38.47502714599727,1.0,698.0,train
BD+30 3526,4,4,0,290.4175671,31.1621414,56402.14543981481,58991.96952546296,339.2227140567136,1.0,2589.8,validation
BD+35 1169,33,3,30,83.590417,35.813592,56303.93522569445,59172.06434606481,127.72601039644867,1.0,2868.1,train
BD+36 3956B,1,1,0,303.667305,36.6465261,56923.79170138889,56923.79170138889,60.89835822981788,1.0,0.0,validation
BD+36 4145,33,33,0,309.07586031,37.41744911,56178.93145833333,60135.43395254629,187.82074641993825,0.9696969696969697,3956.5,train
BD+37 1292,32,2,30,85.7099258,37.9840989,57071.87766203703,60615.95517008102,194.0212863703597,1.0,3544.1,train
BD+38 4093,2,2,0,306.792542,38.900453,57941.91112268518,58316.08251157407,731.0257395257269,1.0,374.2,test
BD+40 4353,3,3,0,313.5671629,40.8371406,56912.82696759259,58376.902262731484,169.03498902685504,1.0,1464.1,test
BD+413731,205,4,201,306.06548167,42.30037957,49591.08295759045,60538.88371527778,36.02724182943856,0.01951219512195122,10947.8,validation
BD+42 4162,1,1,0,324.45846544,42.97523578,60554.93293234865,60554.93293234865,234.15501456571118,1.0,0.0,train
BD+44 3475,1,1,0,307.08643733,45.4340338,60549.84598708519,60549.84598708519,194.36350783271487,1.0,0.0,train
BD+44 3594,4,4,0,312.2983119,45.41105366,56933.83552083333,60533.91688657407,187.68146707841112,1.0,3600.1,test
BD+46 2948,3,3,0,307.33409483,46.66639456,57286.79487268518,58677.89734375,1223.764946611232,1.0,1391.1,train
BD+46 3022,2,2,0,310.8314733,46.5705644,58314.934699074074,59111.991255787034,603.5810719254266,1.0,797.1,test
BD+46 3087,3,3,0,313.2747171,46.6861464,56917.893605324076,58745.84019675926,574.1920192810383,1.0,1827.9,train
BD+47 3148,3,3,0,309.3109658,47.7072586,58312.95161458333,58697.94298032407,926.1367348651796,1.0,385.0,train
BD+47 3302,5,5,0,317.1106029,47.6739806,56513.091840277775,59511.92199041667,401.3956821876772,1.0,2998.8,train
BD+471108,1,1,0,78.17913392,47.90755825,60333.98041420717,60333.98041420717,821.7278352438686,1.0,0.0,train
BD+49 2768,6,6,0,274.8384392,49.4213769,56405.02390625,59695.0399537037,350.8076802317711,1.0,3290.0,test
BD+49 3615,5,5,0,326.46734604,50.2924838,55526.79974537037,60596.26929398148,115.80098216002922,1.0,5069.5,test
BD+50 3180,3,3,0,310.9592258,50.9728725,57286.85287037037,59000.90522569444,674.2957194649567,1.0,1714.1,test
BD+50 3194,1,1,0,311.55987106,50.65014312,60937.84916087963,60937.84916087963,633.5228662400953,1.0,0.0,train
BD+50 3495,1,1,0,329.13028951,50.69025858,60558.89056983806,60558.89056983806,148.4485674822918,1.0,0.0,train
BD+50 395,2,2,0,29.0111129,50.9497956,58040.83327546297,58046.83298032408,5328.028721642742,1.0,6.0,train
BD+50 447,1,1,0,31.5411579,51.1634617,58717.99271412037,58717.99271412037,654.554332378043,1.0,0.0,test
BD+53 2790,32,3,29,331.9843221,54.5184456,56508.91228587963,59051.01877314815,85.06564364614447,1.0,2542.1,train
BD+53 2964,3,3,0,340.8466717,54.0715989,57959.99177083333,58738.903836805555,189.3341813723065,0.6666666666666666,778.9,train
BD+54 2399,28,28,0,310.221,55.327,58250.00218171296,59511.87649313889,104.89099639052591,1.0,1261.9,train
BD+54 2676,3,3,0,330.8131133,55.0884081,57286.89880787037,59077.075949074075,419.5002787529635,1.0,1790.2,validation
BD+54 2718,33,3,30,333.747858,55.463561,58313.99497685185,59159.815491898145,102.2129773497178,1.0,845.8,train
BD+54 2887,1,1,0,344.65131522,55.46992533,60577.86455978742,60577.86455978742,413.61042301091425,1.0,0.0,train
BD+55 521,3,3,0,32.233754,56.196525,57012.78625,57019.80156847222,57.64997012842884,1.0,7.0,validation
BD+55 81,33,3,30,7.0501721,56.396535,56229.79095486111,59170.96414351852,64.35815106021334,1.0,2941.2,validation
BD+550521,134,0,134,32.222083,56.193333,52653.780307212444,52653.82276018339,55.994880830231494,0.0,0.0,train
BD+55880,1,1,0,66.42402612,56.25816374,60339.82212925926,60339.82212925926,414.5788976951469,1.0,0.0,train
BD+56 251,2,2,0,20.204,57.438,56916.97318287037,59108.953790590276,65.84886751061462,1.0,2192.0,train
BD+56 259,2,2,0,20.8313,57.6486,56917.174716435184,59604.83920138889,307.00244567579193,1.0,2687.7,test
BD+56 2626,3,3,0,325.4204721,56.6934261,58332.97835648148,59463.35594907407,579.6894225412335,1.0,1130.4,train
BD+56 2811,4,4,0,338.750558,57.603994,57977.96083333333,59604.78600115741,267.7019695634759,0.75,1626.8,train
BD+56 489,2,2,0,34.562962,57.171156,58564.900052083336,59174.89921296296,583.2621101544228,1.0,610.0,validation
BD+56 493,1,1,0,34.57647,56.8506322,57423.87902199074,57423.87902199074,1400.028681789521,1.0,0.0,train
BD+56 509,1,1,0,34.70104,57.24025,58564.83001736111,58564.83001736111,833.4685021889687,1.0,0.0,train
BD+56 511,2,2,0,34.699646,57.067247,58396.878125,59561.99885416667,1246.4422339842256,1.0,1165.1,train
BD+56 534,3,3,0,34.860529,57.078394,57419.848721064816,58805.84380787037,77.76473989296686,1.0,1386.0,train
BD+56 573,2,2,0,35.5265,57.090292,58566.896365740744,59105.0921875,627.569633394372,1.0,538.2,train
BD+56 579,4,4,0,35.57971,57.62031,56229.899809027775,59209.76220486111,696.8763155201508,1.0,2979.9,train
BD+56 582,3,3,0,35.594775,57.2847242,56229.91578125,58743.08547453704,490.1774900292614,1.0,2513.2,train
BD+56 612,3,3,0,36.4373946,57.3201394,56228.766168981485,57378.848524305555,736.7745474218497,1.0,1150.1,validation
BD+56 624,1,1,0,36.6690029,57.0925219,56228.743472222224,56228.743472222224,673.7105290762031,1.0,0.0,train
BD+56 727,3,3,0,42.8762008,56.9578614,56228.789189814815,58858.08699074074,539.6141753300362,1.0,2629.3,train
BD+57 243,5,5,0,19.7254854,58.2019042,55935.74885416667,60568.03045588889,541.709857899661,1.0,4632.3,train
BD+57 2678,2,2,0,345.9033608,58.3097494,56139.97316550926,58703.06600115741,211.34366593483384,1.0,2563.1,train
BD+57 334,1,1,0,23.98893063,58.15359014,60889.97886052083,60889.97886052083,347.5255973486684,1.0,0.0,train
BD+57 515,4,4,0,33.17671,57.69211,57362.78302662037,59166.82061342592,208.70431245472776,1.0,1804.0,train
BD+57 607A,1,1,0,40.038454,57.761586,58744.95992476852,58744.95992476852,230.96321008146512,1.0,0.0,train
BD+572615,137,3,134,341.95654813,58.14708889,49593.10575200128,59458.801991333334,48.535076421926604,0.014598540145985401,9865.7,train
BD+58 247,2,2,0,22.351475,59.099272,57984.873761574076,59603.81861689815,385.6639759666499,0.5,1618.9,validation
BD+58 277,1,1,0,25.5551608,59.3417772,58051.8443287037,58051.8443287037,518.8470053993206,1.0,0.0,train
BD+58 458,2,2,0,35.8731158,58.9634972,57367.82931134259,57423.806597222225,904.8606113051012,1.0,56.0,train
BD+58 492,1,1,0,39.1846733,59.3769578,58539.911157407405,58539.911157407405,662.013952497977,1.0,0.0,train
BD+58 610,5,5,0,52.7455946,59.2443181,55935.81811921296,60569.028329277775,656.0520016517282,1.0,4633.2,test
BD+59 246,33,3,30,21.1214254,60.2897853,56139.04969907407,59171.94432870371,140.2122217420212,1.0,3032.9,train
BD+59 250,4,4,0,21.826983,60.114897,56139.09410300926,58385.979537037034,276.10350772747404,1.0,2246.9,train
BD+59 2829,64,4,60,1.701255,60.6002303,56227.77499421296,60287.19571180556,97.57525364990639,1.0,4059.4,train
BD+59 343,1,1,0,28.4513087,60.5250814,59118.077332175926,59118.077332175926,54.04250042185478,1.0,0.0,validation
BD+59 497,1,1,0,37.4567,59.8531,58563.87173611111,58563.87173611111,702.239695762929,1.0,0.0,test
BD+60 114,6,6,0,12.5634167,60.9025544,56227.83542824074,60614.886782407404,847.7622125052595,1.0,4387.1,train
BD+60 180,4,4,0,18.0464908,61.3258628,56140.01311342593,59561.95547453704,1186.9645184772507,1.0,3421.9,train
BD+60 2405,3,3,0,337.7913712,61.6095164,57576.90495949074,59069.99373263889,86.39836327828533,1.0,1493.1,train
BD+60 2584,33,3,30,353.9229246,61.1887019,58324.99693865741,59159.973807870374,80.60050562412421,1.0,835.0,train
BD+60 2600,33,3,30,355.077383,61.345492,56929.8812962963,59160.00986689815,119.93002680472037,1.0,2230.1,train
BD+60 274,1,1,0,23.90704,61.28036,59600.97497685185,59600.97497685185,964.4499557753749,1.0,0.0,validation
BD+60 307,1,1,0,25.4438033,61.3250153,59188.15621527778,59188.15621527778,465.57135226077867,1.0,0.0,train
BD+60 340,1,1,0,26.61258,61.16722,58394.88015625,58394.88015625,779.260125639719,1.0,0.0,train
BD+60 368,1,1,0,28.10961,60.8317697,59155.159450231484,59155.159450231484,440.4796630404011,1.0,0.0,train
BD+60 393,1,1,0,29.5047646,61.5745258,59158.178715277776,59158.178715277776,436.8771960401726,1.0,0.0,test
BD+61 105,4,4,0,7.8300092,62.4276106,56229.83919560185,59070.03978009259,440.228724446457,1.0,2840.2,test
BD+61 122,3,3,0,8.7513,62.4483,58041.84320023148,59457.852852944445,663.4199190084727,1.0,1416.0,train
BD+61 2292,31,1,30,335.8010675,62.6999839,58331.90684606481,59170.890856481485,98.90765696786195,1.0,839.0,train
BD+61 2355,31,1,30,343.1216242,62.6860581,58331.99748842593,59171.82775462963,117.58523095501097,1.0,839.8,train
BD+61 2380,35,5,30,344.842767,61.973044,55834.92933449074,59171.88605324074,164.41245472760033,1.0,3337.0,train
BD+61 2494,3,3,0,354.9496271,61.9283156,58324.94771990741,59424.97650891667,488.5754881936926,1.0,1100.0,test
BD+61 371,1,1,0,31.044865,62.3970303,59272.91586226852,59272.91586226852,719.6179062998785,1.0,0.0,train
BD+61 39,182,118,64,5.072649,62.463866,55101.01076388889,60195.43179398148,136.32584358984417,0.9945054945054945,5094.4,train
BD+62 1,32,2,30,1.8881263,63.0803264,56227.80409722222,59160.089091435184,67.2848280921577,1.0,2932.3,validation
BD+62 11,9,9,0,2.6955025,63.1729367,56229.70361111111,60688.88137618083,977.6815210954381,1.0,4459.2,train
BD+62 2158,33,3,30,345.5532908,62.8258467,58321.959502314814,59159.88757523148,108.83822381090069,1.0,837.9,train
BD+62 2346,66,6,60,0.352896,63.504369,56227.74597222222,60690.89890625,112.52769959752291,1.0,4463.2,test
BD+62 245,2,2,0,21.0808,62.8272,56916.987280092595,59603.868425925924,275.8927356156898,1.0,2686.9,train
BD+62 261,2,2,0,28.42,63.8,59118.952210648145,59123.91459490741,933.3640089754646,1.0,5.0,train
BD+62 271,111,11,100,23.7044792,63.6266197,55441.90194444444,60582.449907407405,92.30698266009355,0.990990990990991,5140.5,train
BD+62 285,40,13,27,24.7736571,63.4628714,55527.03732060185,59953.10580439815,47.68609146604888,1.0,4426.1,train
BD+62 287,28,4,24,25.0901025,63.1144147,55533.873998842595,58732.98721064815,48.60952846901476,1.0,3199.1,train
BD+62 300,2,2,0,26.2777813,62.8308481,56917.003800150465,59109.978859953706,67.48733998352856,1.0,2193.0,validation
BD+62 89,2,2,0,7.4551987,63.0677819,56229.81535300926,59109.91106481481,319.85183098344817,1.0,2880.1,train
BD+62 99,32,2,30,8.0551221,63.2080431,58719.89278935185,59170.99322916667,48.35036971417944,1.0,451.1,train
BD+63 124,3,3,0,15.300267,63.953969,58698.01128472222,59600.839924768516,580.714892060156,1.0,902.8,train
BD+63 261,32,2,30,29.37244505,64.04114887,57415.741585648146,59157.873402777775,108.9261500134825,1.0,1742.1,train
BD+63 48,3,3,0,6.6671233,64.4320617,56229.76156828704,59110.01927668982,870.1573812057468,1.0,2880.3,train
BD+65 1970,2,2,0,359.39208649,66.43162317,58333.92153935185,59112.86046875,228.8391172853385,1.0,778.9,validation
BD+66 64,1,1,0,12.5753748,67.17717705,60548.97247322926,60548.97247322926,190.573308972855,1.0,0.0,train
BD+69 48,5,5,0,12.845325,70.1608569,56228.70222800926,59791.10913013889,850.5763203452699,1.0,3562.4,train
BD05 4819,1,1,0,284.3042787,-5.5250097,59805.939569138885,59805.939569138885,435.99300603991935,1.0,0.0,train
BD06 1895,31,1,30,105.5569742,-6.3024339,57071.87799768519,59182.05218171296,99.14572004805784,1.0,2110.2,train
BD09 4713,1,1,0,275.967683,-9.898406,58284.95216435185,58284.95216435185,83.05060267312106,1.0,0.0,train
BD094858,3,3,0,282.7429671,-9.8273747,53939.975625,57639.85146412037,110.42453231124834,1.0,3699.9,train
BD10 2073,1,1,0,112.4954658,-11.2635219,59314.833657407406,59314.833657407406,229.14418327850748,1.0,0.0,train
BD10 2133,1,1,0,114.4074775,-10.9723458,58550.96341435185,58550.96341435185,844.2486848732233,1.0,0.0,train
BD11 2043,1,1,0,114.9260071,-12.2592725,58550.89723958333,58550.89723958333,992.1515260066491,1.0,0.0,train
BD13 1825,1,1,0,106.7426062,-13.6764403,59298.85792824074,59298.85792824074,289.2574328761666,1.0,0.0,train
BD13 2040,61,3,58,112.280075,-13.769894,56743.83052662037,60799.06997106481,91.47618204205682,1.0,4055.2,train
BD13 4933,1,1,0,274.770329,-13.805658,59813.14767805555,59813.14767805555,181.98263306233784,1.0,0.0,validation
BD13 5073,1,1,0,280.3440442,-13.8413703,59374.3172337963,59374.3172337963,537.2134037699523,1.0,0.0,train
BD14 1751,1,1,0,107.7269058,-14.3572786,59299.86107638889,59299.86107638889,263.05324176501864,1.0,0.0,validation
BD14 5047,1,1,0,276.6637446,-14.6387264,59813.10085688889,59813.10085688889,205.4775364649998,1.0,0.0,test
BD15 5090,2,2,0,281.7114317,-14.9928797,57610.865040509256,59788.30107769444,332.0404476640769,1.0,2177.4,train
BD20 2183,1,1,0,116.7463921,-21.161535,59264.88839699074,59264.88839699074,600.8484817814679,1.0,0.0,train
BD21 1449,1,1,0,96.320595,-21.3345369,56293.49979166667,56293.49979166667,177.5719643636464,1.0,0.0,train
BET CMI,1183,214,969,111.78767391,8.28931576,50140.93680555555,60960.20060177083,241.79895405952595,0.8571428571428571,10819.3,train
BET CYG B,255,60,195,292.68914764,27.9652764,52079.036944444444,60868.086414530306,164.4784901992148,0.984313725490196,8789.0,train
BET HYA,120,4,116,178.22717287,-33.90812978,54877.06273148148,60739.39591435185,420.4299313514468,1.0,5862.3,train
BET LYR,3249,413,2836,282.519978,33.362667,51057.80720551665,60937.886342592596,217.43219409847947,0.8261003385657125,9880.1,train
BET MON A,289,41,248,97.20446,-7.03306,52302.00115740741,60932.37819444444,232.34746329957554,0.8719723183391004,8630.4,validation
BET PSC,1154,95,1059,345.96922289,3.82004617,48818.041666666664,61022.763032407405,162.24552900881085,0.7590987868284229,12204.7,train
BET SCL,174,7,167,353.24274574,-37.81826583,55443.08982638889,60914.407060185185,404.41808326886735,1.0,5471.3,train
BF ORI,1,1,0,84.30525683,-6.5834934,59209.92683449074,59209.92683449074,432.46759445677696,1.0,0.0,train
BG PHE,38,10,28,12.25544505,-56.09704214,56176.55670138889,61018.578188657404,39.78712337104896,1.0,4842.0,validation
BI 156,2,2,0,80.92,-71.13,59481.37700231482,59788.37980152778,97.41722176768661,1.0,307.0,train
BK CAM,417,75,342,49.99696946,65.65229172,52128.12194444444,60997.905572083335,329.65012855833874,0.988009592326139,8869.8,train
BT CMI,169,20,149,119.26664369,2.95084532,49775.083423582175,60668.2821875,61.2236246360701,0.9881656804733728,10893.2,train
BZ CRU,597,39,558,190.70944262,-63.05862512,48284.04990561921,60741.30946875,385.79544225187504,0.9966499162479062,12457.3,train
CD22 12093,1,1,0,263.32,-22.85,59765.04947091667,59765.04947091667,98.0446903841412,1.0,0.0,train
CD30 5079,1,1,0,116.7233,-30.5536,56668.50870949074,56668.50870949074,134.67429349391455,1.0,0.0,train
CD31 5034,1,1,0,116.4788,-32.0953,56674.48447337963,56674.48447337963,86.86663856190836,1.0,0.0,train
CD32 4140,2,2,0,113.2511229,-32.5530636,56309.47525462963,56656.47009837963,209.48818885131942,1.0,347.0,train
CD32 4657,2,2,0,119.72899106,-32.55769172,56329.495358796295,56675.49524884259,361.00555819125043,1.0,346.0,train
CD44 4392,2,2,0,126.324329,-45.162756,56697.48052662037,57126.468622685185,400.96484456812107,1.0,429.0,train
CD45 4826,1,1,0,136.0272142,-45.6767736,59746.012795138886,59746.012795138886,447.829053689088,1.0,0.0,train
CD47 4412,2,2,0,132.4740471,-48.0608658,56379.49018518518,56738.48489583333,373.41715852641704,1.0,359.0,train
CD49 3441,3,3,0,123.5852571,-50.1628472,56332.47202180556,57109.446435185186,305.1870886685665,1.0,777.0,train
CD55 3338,1,1,0,155.7354417,-56.4998975,56411.497245370374,56411.497245370374,126.98279088210053,1.0,0.0,test
CD55 3417,1,1,0,157.4466392,-56.6128806,56429.5291087963,56429.5291087963,198.87573890474926,1.0,0.0,train
CD56 6163,3,3,0,240.97705,-56.554275,56146.494855324076,59813.05424152778,206.9340444221693,1.0,3666.6,train
CD60 4299,1,1,0,189.6508429,-61.2535939,59765.002231638886,59765.002231638886,198.123285754776,1.0,0.0,train
CD70 798,2,2,0,166.9880917,-70.9094436,56062.49842592593,56378.525185185186,88.83955229973486,1.0,316.0,train
CHI OPH,441,104,337,246.7559788,-18.4562511,49786.91937215856,60930.06529456018,188.43185916397465,0.9251700680272109,11143.1,train
CI CAM,69,3,66,64.92558125,55.999361388889,57690.94775462963,59183.070069444446,12.250475053117444,1.0,1492.1,train
CK CIR,174,0,174,219.88193405,-68.2033874,60037.316608796296,60936.08129050926,275.47796324300566,1.0,898.8,train
CL* NGC 2004 BBBC 451,2,2,0,82.6845,-67.2896,52967.30898208912,52971.3335078588,102.66803075936815,1.0,4.0,train
CL* NGC 2004 KWBBE 1055,2,2,0,82.6219,-67.2838,52967.30898208912,52971.3335078588,45.75296986935314,1.0,4.0,train
CL* NGC 2004 KWBBE 1108,4,4,0,82.6551,-67.1915,52967.30898208912,52971.3335078588,45.43866130034634,1.0,4.0,train
CL* NGC 2004 KWBBE 1196,2,2,0,82.712,-67.3024,52967.30898208912,52971.3335078588,32.3879774041102,1.0,4.0,validation
CL* NGC 2004 KWBBE 152,2,2,0,82.6016,-67.2487,52967.30898208912,52971.3335078588,80.49790318185079,1.0,4.0,train
CL* NGC 2004 KWBBE 203,2,2,0,82.7029,-67.2804,52967.30898208912,52971.3335078588,84.08692544993603,1.0,4.0,test
CL* NGC 2004 KWBBE 276,2,2,0,82.4973,-67.2462,52967.30898208912,52971.3335078588,91.7244145719544,1.0,4.0,test
CL* NGC 2004 KWBBE 287,2,2,0,82.5336,-67.2434,52967.30898208912,52971.3335078588,82.84075990860137,1.0,4.0,validation
CL* NGC 2004 KWBBE 344,2,2,0,82.6619,-67.2392,52967.30898208912,52971.3335078588,79.01588568148622,1.0,4.0,train
CL* NGC 2004 KWBBE 347,2,2,0,82.6662,-67.2058,52967.30898208912,52971.3335078588,83.97763295394321,1.0,4.0,train
CL* NGC 2004 KWBBE 374,2,2,0,82.6991,-67.1934,52967.30898208912,52971.3335078588,46.34871358774383,1.0,4.0,train
